Retrieval System,Relevance Definition,Precision@10,Recall@10,NDCG@10,MRR,Coverage@10,Tag Diversity@10,Popularity Diversity@10,AvgPop@10
Random Retrieval,top_genre,0.04238261226163625,0.0018634936460289592,0.04235942717798092,0.09848706757667183,99.97949559155218,9.722575353701046,190.82689153167934,35.10857084273119
Tag-Based Retrieval,top_genre,0.09546231974528951,0.0075574768987671183,0.0942983724108213,0.19542285598512694,88.16895632561,5.202051282051282,161.02915897435898,34.98603076923077
TF-IDF Retrieval,top_genre,0.08276281896548742,0.0072364769276523084,0.0957983691234325,0.18772285429612796,89.87082222677876,9.605003075661268,163.02474677055565,34.75655115849908
BERT Retrieval,top_genre,0.08751281525527989,0.008044768675772073,0.0890983685203102,0.17882285167501485,83.26840270658191,9.627844986672134,182.7324769325405,37.46678285831454
MFCC Retrieval,top_genre,0.09735493131023171,0.00848183543694978,0.10274327304367133,0.20912828599418717,92.78244822636867,9.521427106827968,167.93877178593397,36.099589911831046
Spectral Contrast Retrieval,top_genre,0.06721345089194176,0.005533225926438178,0.06810619960440757,0.1499040686604763,92.26983801517326,9.634406397375436,179.69788599548906,36.05103547262662
VGG19 Retrieval,top_genre,0.07680951404551979,0.0062926698311245284,0.08472539911213259,0.1930258973933364,87.55382407217552,9.630305515685873,170.17497847037112,36.316649579659625
ResNet Retrieval,top_genre,0.08209965142505639,0.006218332455284575,0.09132020450682257,0.20782739519155347,82.7557924953865,9.625589501742875,168.26951814640148,35.252491285626405
Early Fusion BERT+MFCC Retrieval,top_genre,0.09794955915521839,0.008388674843153776,0.10309079181090558,0.20804895671617016,91.0600779167521,9.524707812179619,171.05628255074842,36.70984211605495
Late Fusion MFCC+VGG19 Retrieval,top_genre,0.09903629280295263,0.008248380940661293,0.10801053284836211,0.231302745963398,83.59647324174698,9.6093910190691,176.07648759483288,37.844433053106414
Random Retrieval,tag_overlap,0.0002050440844781628,0.0003151143448526855,0.0002742447546123588,0.0005228624154193151,100.0,9.729136764404346,191.58013327865493,35.10319868771786
Tag-Based Retrieval,tag_overlap,0.000999675329487123,0.002253767219145276,0.0027518793459812755,0.002960125491348116,88.16895632561,5.202051282051282,161.02915897435898,34.98603076923077
TF-IDF Retrieval,tag_overlap,0.0008748205864260816,0.002268212809879289,0.001405901529891442,0.002347808143830287,89.87082222677876,9.705003075661268,163.02474677055565,34.75655115849908
BERT Retrieval,tag_overlap,0.000799671929464835,0.0016437665972341667,0.0012518753395911644,0.002460122180237005,83.26840270658191,9.627844986672134,182.7324769325405,37.46678285831454
MFCC Retrieval,tag_overlap,0.0014763174082427723,0.003263064213598242,0.0026703874513029553,0.005366296610914203,92.78244822636867,9.521427106827968,167.93877178593397,36.099589911831046
Spectral Contrast Retrieval,tag_overlap,0.0007586631125692025,0.0013966922692756917,0.0012616328716152346,0.0026130915765937295,92.26983801517326,9.634406397375436,179.69788599548906,36.05103547262662
VGG19 Retrieval,tag_overlap,0.001804387943407833,0.0046570985339135645,0.005338301837813918,0.010806636919001078,87.55382407217552,9.630305515685873,170.17497847037112,36.316649579659625
ResNet Retrieval,tag_overlap,0.001804387943407833,0.004585802186786399,0.005614983603600132,0.01185488411754559,82.7557924953865,9.625589501742875,168.26951814640148,35.252491285626405
Early Fusion BERT+MFCC Retrieval,tag_overlap,0.0013942997744515071,0.0030286584984847626,0.002580399046899072,0.005248965829240588,91.0600779167521,9.524707812179619,171.05628255074842,36.70984211605495
Late Fusion MFCC+VGG19 Retrieval,tag_overlap,0.0025220422390814026,0.006020030850841372,0.006594438768353267,0.013319403354260849,83.59647324174698,9.6093910190691,176.07648759483288,37.844433053106414
